,count,unique,top,freq,mean,std,min,25%,50%,75%,max
survived,785.0,,,,0.41146496815286626,0.492412863013864,0.0,0.0,0.0,1.0,1.0
pclass,785.0,,,,2.243312101910828,0.8545551627558297,1.0,1.0,3.0,3.0,3.0
sex,785,2,male,492,,,,,,,
age,785.0,,,,29.689707006369424,13.723844828557738,0.42,22.0,28.5,36.0,80.0
sibsp,785.0,,,,0.5222929936305732,0.9857789009693078,0.0,0.0,0.0,1.0,8.0
parch,785.0,,,,0.4152866242038217,0.8365201856847835,0.0,0.0,0.0,1.0,6.0
fare,785.0,,,,54.07925848630365,275.19519493690245,0.0,8.05,16.0,34.375,4071.6286774443815
embarked,785,3,S,571,,,,,,,
class,785,3,Third,405,,,,,,,
who,785,3,man,452,,,,,,,
adult_male,785,2,True,452,,,,,,,
embark_town,785,3,Southampton,571,,,,,,,
alive,785,2,no,462,,,,,,,
alone,785,2,True,447,,,,,,,
fare_capped,785.0,,,,26.842255668789807,23.156934528179555,0.0,8.05,16.0,34.375,73.8625
